,Claim Description,Coverage Code,Accident Source
114,SMALL PD IV DRIVER WAS DRIVING DOWN ROAD AND STRUCK OVERHEAD LOW  HANGING CABLE WIRE AND KNOCKED IT DOWN. NO DAMAGE TO THE IV. NO   INJURIES WERE REPORTED.,AL,Struck/pulled down wires
115,"*ECOMM/BC - DA DAMAGED THE DOOR, SCRATCHED THE DOOR FRAME WHILE   ITEM WAS BEING DELIVERED.",PB,e-Commerce
116,"IV DRIVER WAS SERVICING THE CUSTOMER. IV MOVED FORWARD THERE LOW  HANGING WIRE. IV STRUCK THE LOW HANGING WIRE. IV INCURRED NO      DAMAGE. THE WIRE WAS BROUGHT DOWN. NO INJURIES REPORTED.AT&T WAS  CONTACTED, REFERENCED NUMBER PL3Q3S93. AT&T WILL BE AT THE        INCIDENT LOCATION TO LOOK AT WIRE.",AL,Struck/pulled down wires
117,"CLAIMANT ALLEGES SHE AND ANOTHER OFF THE CLOCK EMPLOYEE BEGAN     HAVING A VERBAL ALTERCATION ON THE PREMISES. THE MALE WAS         TERMINATED AND TOLD TO LEAVE THE PROPERTY.THE FEMALE WAS ASKED TO LEAVE FOR THE DAY. THEY LEFT AND MET UP IN A NEARBY AREA WHERE IT ESCALATED INTO A PHYSICAL ALTERCATION. SHE WAS STABBED BY THE     FORMER ASSOCIATE AND RETURNED TO THE STORE, REQUESTING THAT AN    AMBULANCE BE CALLED. AN AMBULANCE TRANSPORTED HER FOR MEDICAL     CARE.THE TERMINATED ASSOCIATE WAS ARRE",GB,Assault
118,CLMT FELL IN HER UNIT,GB,"Animal, Insect"
119,FEMALE PLAINTIFF ALLEGES DRUG DEPENDENCE CAUSED BY TREATMENT WITH RATIO-SALBUTAMOL.,PA,"Alleged inadequate warnings, labels, etc."
120,CUSTOMER TRIPPED AND FELL GOING UP THE ESCALATOR AT AROUND 1.17PM.CUSTOMER REPORTED THAT HE WAS OKAY AND DID NOT NEED MEDICAL       ATTENTION.,GB,Elevator/Escalator
121,DRIVER WAS BACKING INTO THE LOCATION AND LOOKING OUT HIS PASSENGERSIDE MIRROR. HE BACKED UP TOO FAR AND STRUCK THE PUMP WITH THE    DRIVER SIDE BUMPER OF TRAILER. CONTACT FELICIA LAM (972) 467-1188,GD,Alleged Negligent Act
122,IV ATTEMPT TO AVOID OV AND HIT SIGN AND UTILITY POLE,AP,Struck animal or object
123,OV STRUCK PARKED IV RENTAL CAR,AP,Our vehicle struck while parked
124,"ON WEDNESDAY, MARCH 8,2023 WHILE PYE BARKER FIRE SAFETY, LLC WAS ON PROPERTY WORKING ON THE FIRE HYDRANT, THEY DAMAGED SANDY DIAZ 51",GD,Not Otherwise Classified
125,"MR. GRIES WAS CHANGING IN A STALL IN THE MENS RESTROOM LOCATED ON THE 3RD FLOOR. WHILE CHANGING, HE CUT HIMSELF ON THE TOILET PAPER DISPENSER.",GB,Alleged Negligent Act
126,"THE RESIDENT WAS GOING TO THEIR TRUNK, SLIPPED ON THE ICE IN THE PARKING LOT, AND SPRAINED HER KNEE.",GB,"Parking lot, driveway"
127,"CLAIMANT ALLEGES, SHE WENT TO SIT DOWN, AND DID NOT POSITION      HERSELF PROPERLY. SHE FELL OFF THE CHAIR. NO INJURY IS REPORTED.",GB,Alleged Negligent Act
128,"CLAIMANT ALLEGES THAT WHILE SHE WAS PICKING UP A COFFEE POT, IT   CAUSED A 2ND DEGREE BURN TO HER LEFT HAND.",NS,"Heating equipment, NOC"
129,CUSTOMER HAD A GOFOR DELIVERY AT HIS PROPERTY FOR SOME INTERIOR   DOORS. THE CUSTOMER WAS NOT HOME AT THE TIME OF THE DELIVERY BUT  PROVIDED INSTRUCTIONS AS TO WHERE IT SHOULD BE LEFT.,GD,Alleged Negligent Act
130,IV DRIVER WAS TRAVELING ON ORCHARD LAKE ROAD WHEN IV STRUCK A DEER. THERE WERE NO INJURIES REPORTED. IV INCURRED DAMAGE TO D/S FRONT,AP,Struck animal or object
131,"YESTERDAY A DRIVER CAME AND DELIVERED SOME TANKS TO OUR OFFICE AT BIEMCARE ORAL SURGERY. IN THE COURSE OF THE DELIVERY, THE INTERNALMECHANISM OF THE GAS CLOSET DOOR HANDLE WAS BROKEN. ULTIMATELY, A LOCKSMITH HAD TO DRILL THROUGH THE DOOR HANDLE THIS MORNING TO    ACCESS THE CLOSET. AND UNFORTUNATELY, THE LOCK THAT WAS BROKEN WASAN INDUSTRIAL GRADE 1 LOCK AND IS QUITE EXPENSIVE. I'M ASKING TO  BE REFUNDED FOR THE COSTS ASSOCIATED WITH THE EVENT. I'VE ATTACHEDALL RECEIPTS/INVOICES YOU MIGHT NEED.",GD,Alleged improper maintenance - other
132,". ON 4/11/23 AT APPROXIMATELY 5:15PM, RYAN SAUER WAS DOING SOME WEIGHT LIFTING IN THE FITNESS CENTER.  MR. SAUER WAS LAYING BACK ON",GB,Not Otherwise Classified
133,IV BACKED INTO SNOW BANK,AP,Backed into vehicle or object
134,"MR. MICHAEL SAVARESE REPORTED THE INCIDENT HAPPENED ON THE DAY OF THE NEW YEAR, 01/01/2023, AROUND 08:00 PM. HIS DAUGHTER ADRIANA ST",GB,Not Otherwise Classified
135,RO CK NO INJURIESOV REARENDED IV ON THE WAY THE HER FIRST PICKUP,AP,Our vehicle struck in rear
136,CEMENT TRUCK REAR ENDED THE TRACTOR FROM BEHIND,NS,Sideswipe or lane change
137,EE WAS WAITING FOR RED LIGHT TO TURN GREEN AND A VEHICLE VEERED   INTO HER LANE.,AP,Intersection accident
138,WELLNESS CHECK ON 12/16/22. THE FAMILY SEEMED CONCERNED THAT THEY HAVE NOT HEARD  FROM HER SINCE NOVEMBER AND WANTED US TO CHECK THE,GB,Not Otherwise Classified
139,"GUESTS WERE IN ROOM 361.RYAN SLIPPED WHILE TAKING A SHOWER HITTINGTHE BACK LEFT SIDE OF HIS HEAD ON THE TUB.HE WAS THEN DIZZY,      GROGGY, HAD DOUBLE VISION, HEADACH AND WAS NAUSEOUS.HIS PARENTS   TOOK HIM TO URGENT CARE WHERE THEY DIGANOSED A CONCUSSION.",GB,Alleged Negligent Act
140,IV MADE LANE CHANGE IN TO CV OTHER CARRIER IS                     SUBROGATING.,AD,Sideswipe or lane change
141,OV HIT IV,AP,Sideswipe or lane change
142,"STUDENT WAS ON CLIMBER WEST PLAYGROUND. HE WENT OUTSIDE OF        CLIMBER, SLIPPED, AND FELL FLATLY ON HIS BACK. ADULTS OUTSIDE DID NOT SEE WHEN HE FELL EXACTLY BUT OUTSIDE CAMERA CAUGHT ACCIDENT.",GB,"Alleged lack of supv., park, playground"
143,IV DRIVER WAS TRAVELING ON INTERSTATE 269 EASTBOUND WHEN IV HIT A DEER AND IT CLIPPED THE FRONT LEFT SIDE OF IV. NO INJURIES        REPORTED.,AP,Struck animal or object
144,"V1 WAS BEHIND V2 WESTBOUND ON PRINCE WILLIAM PARKWAY APPROACHING  WORTH AVENUE. V2 OBSERVED THE TRAFFIC LIGHT TURN YELLOW AND WAS   SLOWING TO A STOP, CAUSING THE FRONT OF V1 TO MAKE CONTACT WITH   THE REAR OF V2.",AB,Alleged Negligent Act
145,SARAH KUPFER CAME TO PICK UP CHILD FROM KIDS COMPANY AROUND 3:07. SHE SLIPPED WHILE WALKING ON THE BLACK TOP AND FELL.,GB,Alleged improper maintenance - schools
146,WHILE MAKING DELIVERY WITH A PALLET JACK THE PALLET SLID INTO THE GRASS CAUSING DAMAGE.,GD,Damage to landscaping
147,"THERE WAS SHRINK WRAP AROUND LOAD INSURED FOOT GOT CAUGHT AND HE  FELL BACK LANDING ON HEAD, NECK, BACK ON A CHAIN AND THE SIDE IV",NS,Securing load
148,"SMALL PD. IV DRIVER WAS TURNING INTO A PARKING LOT WHEN IV        PULLED A METAL WIRE DOWN, CAUSING DAMAGE TO THE WIRE. NO INJURIES",AL,Struck/pulled down wires
149,"DUE TO FREEZING WEATHER, PIPES BURST IN CEILING CAUSING 3 TO 5    INCHES OF WATER TO FLOOD BUILDING STRUCTURE. WATER DAMAGES WERE   SUSTAINED TO CEILING, FLOORING, WALLS AND MATERIALS. LOSS OCCURREDTO OFFICE BUILDING ON 611 BORTON STREET. THE LOCATION NUMBER IS   LA50251.",RB,Weather NOC - Property
150,IV ALLEGEDLY DROVE THROUGH RESTAURANT RESULTING IN INJURIES TO 2-3INDIVIDUALS. TWO PARKED VEHICLES WERE ALLEGEDLY DAMAGED.,AD,Not Otherwise Classified
151,BACKED UP TO LOADING DOCK AND IV FORGOT TO PULL BRAKE BEFORE      GETTING OUT OF VEHICLE. VEHICLE ROLLED AWAY DOWNHILL AND RAN OVER BANK IN TO BRUSH AND PROPERTY LINE FENCE.,AP,Runaway vehicle
152,"BAY DOOR #1 METAL PANEL DENTED, BY BUMPER OF UPS TRUCK, MAKING A  DELIVERY. CONTACTING OVERHEAD DOOR FOR EST.",RB,Vehicle - truck/snowplow
153,"GUEST STATED THAT SHE HAD A DIFFICULTY SEEING AND THAT SHE TRIPPEDAS SHE WAS WALKING UP A STEP IN AUDITORIUM #5. SHE AND HER FRIEND LUCILLE HAD TICKETS FOR SEATS E7 & E8, ON THE AISLE AND 1 STEP UP AS YOU ENTERED THE AUDITORIUM. THE MOVIE TRAILERS WERE RUNNING ANDLIGHTING LEVEL WAS ""MID"", OR NOT ALL THE WAY DOWN BECAUSE THE FILMHADN'T STARTED. LIGHTING IS ALL OPERATIONAL AFTER SHE FELL A      DIFFERENT GUEST ALERTED US TO THE FALL AND SHAY ARMSTRONG AND     HASAAN BLUE WENT INTO THE AUDITORIUM T",GB,Alleged Negligent Act
154,IV STRUCK BY TREE LIMB.,AP,Other - comprehensive
155,"FLASH ALERT- FS BUS WAS ENTERED INTERSECTION & COLLIDED WITH OV.  FS BUS WAS PUSHED INTO DITCH & HIT AN ELECTRICAL POLE CAUSING POLETO TIP OVER ONTO BUS. HUDSON PD, FD & EMS REPORTED TO SCENE.      NORMAL SR LSM IS ON SCENE. IVD & MONITOR ARE INJURED REQUIRING    TRANSPORT. TWO PASSENGERS IN OV ARE INJURED REQUIRING TRANSPORT.  EMERGENCY CONTACTS & SCHOOL DISTRICT HAVE BEEN NOTIFIED. NO MEDIA ON SCENE AT TIME OF REPORT. NO CITATIONS ISSUED AT TIME OF REPORT.",AB,Intersection accident
156,CLAIMANT SUFFERED VEHICLE DAMAGE DUE TO OBJECT STRUCK  HIS        VEHICLE CAUSING VEHICLE DAMAGE.,GD,Struck by Object
157,OV LOST CONTROL IV CHANGED LANES OV TURNED OTHER DIRECTION AND    STRUCK IV ON STEER TIRE AND BUMPER,AP,Vehicle - Operated by other party
158,AMARILIS WAS EXPERIENCING CHEST PAIN. HEART RATE WAS 220,GB,Not Otherwise Classified
159,THE INSURED DRIVER WAS MAKING A LEFT TURN FROM THE OPPOSITE       DIRECTION WHEN THE IV TRACTOR P/S WAS STRUCK BY THE OV. THE OV    DRIVER EXPERIENCES PAIN IN BOTH KNEES AND HER LOWER BACK.,AB,Sideswipe or lane change
160,"SUBJECT BIT P.O. MAYS ON HIS RIGHT BICEP, CAUSING BRUISING",NS,Assault
161,INSURED VEHICLE COLLIDED WITH PARKED THIRD PARTY VEHICLE CAUSING  VEHICLE DAMAGE.,AD,Collision
162,IT IS ALLEGED THAT THE CUSTOMER WAS EATING PAD THAI IN THE DINING ROOM WHEN HE SUSTAINED AN ALLERGIC REACTION.,GB,Allergic Reaction
163,DRIVER WAS PULLING OUT OF PARKING SPOT WITH TRUCK IN CEVA PARKING LOT AND TURNED TOO TIGHT AND HIT FRONT DRIVER SIDE OF PARKED CAR  SMASHING LIGHT AND RIPPING FRONT END OFF. NO POLICE CAME BECAUSE  IT WAS ON PRIVATE PROPERTY.,AD,Struck parked vehicle
164,"AROUND 5:30PM, ON 410 IN THE MIDDLE OF TRAFFIC, I WAS ON THE RIGHTLANE (3RD FROM LEFT) AND WAS MERGING INTO MY LEFT LANE (2ND FROM  LEFT). THERE WAS ENOUGH ROOM FOR 3 CARS TO MERGE IN FRONT OF THE  COMPANY VAN, HE WAS VERY FAR BEHIND ME. THE CAR IN FRONT OF ME ANDMYSELF MERGED INTO THE SECOND LANE AND THEN THE COMPANY VAN WENT  TO THE FAST LANE (FAR LEFT, 1ST LEFT LANE) AND THEN GOT IN FRONT  OF ME AND BY DOING THAT HE CLIPPED MY DRIVER DOOR AND TIRE. HE    KEPT DRIVING FOR ABOUT HALF A MILE BEF",AD,Sideswipe or lane change
165,"SMALL PD. AFTER STEVEN DUMPED THE CONTAINER AT THE VETERINARY     URGENT CARE, AS HE BACKED OUT OF THE CUSTOMER PROPERTY HE NOTICE  HE LEFT RUTS IN PATH WAY LEADING TO THE CONTAINER.",AL,"Parking lot, driveway"
166,"THE IV WAS PASSING THROUGH A STOP SIGN WHEN IT WAS T BONED BY THE OV ALSO PASSING THROUGH A STOP SIGN. THE OV LEFT THE SCENE. THE IVWAS FRONT D/S WHEEL IS BENT AND LEANING AGAINST A PIECE OF METAL, D/S IS DENTED AND A PIECE OF METAL SHOWING. THE OV FRONT BUMPER   WAS DENTED AND OUT OF PLACE. THERE WERE NO REPORTED INJURIES.",AP,Intersection accident
167,"HOMEOWNER/PERSON INJURED: SUSAN HUGHES. REPRESENTING ATTORNEY:    LALIMA LAW FIRM, LLC, ATTORNEY:  WILLIAM JAMES LALIMA, CONTACT    NUMBER: 803-807-6292. NOTIFICATION WAS RECEIVED VIA SEDGWICK ON   09-21-2022. THE CLAIMANT IS STATING THAT ON 07-27-2022, SHE FELL  INTO A HOLE THAT WAS DUG AND LEFT UNMARKED ON HER PROPERTY. ON    09-21-2022, A SUPERVISOR WENT ONSITE TO THE CLAIMANTS HOME TO     INVESTIGATE, THE SUPERVISOR DID NOT FIND ANY HOLES. THE CLAIMANT  CAME OUT AND ADVISED THE SUPERVISOR T",GB,Alleged Negligent Act
168,THE IV STRUCK THE OV THAT WAS PARKED UNOCCUPIED. THE OV INCURRED  DAMAGE TO THE REAR END.,AD,Struck parked vehicle
169,IV BACKED INTO PARKED OV1,AD,Struck parked vehicle
170,GUEST EATING TIRAMISU.  PIECE OF THE PACKAGING BROKE INTO THE FOODAND WHEN THE GUEST TOOK A BITE IT WAS IN THE GUESTS MOUTH. NO     BLOOD OR ANY MORE INJURY OCCURRED.  JUST DISCOMFORT IN MOUTH AT   THE TIME.,PA,Alleged foreign object in product
171,"FOR RECORDS ONLY.  ON 02/23/23 APPROXIMATELY 4:00 PM, THE RESIDENT FROM APT. # 2203 (HELEN MAXWELL) WAS PRONOUNCED DEATH BY NATURAL",GB,Not Otherwise Classified
172,THE IV MERGED LANES AND THE REAR OF THE IV STRUCK THE OV'S SIDE.  THERE IS DAMAGE TO THE OV. THE OV DRIVER SUSTAINED INJURIES.,AB,Sideswipe or lane change
173,"ELDERLY GUEST WAS STANDING IN THE LOBBY WAITING TO BE SEATED.  HE APPEARED TO BECOME LIGHT-HEADED AND PASS OUT.  HE FELL FORWARD ANDHIT HIS HEAD ON OUR HOST PODIUM.  HE WOKE UP AFTER A COUPLE       MINUTES AND SAT UP. WE CALLED 911 IMMEDIATELY, HOWEVER ANOTHER    GUEST WAS ALSO CALLING FOR HELP.",GB,Alleged Negligent Act
174,CLAIMANT STRUCK THE DEFECT CAUSING INJURY LACERATION TO KNEE AND  SCARRING.,GB,DEFECTIVE PAVEMENT
175,GUEST CLAIMS BEG BUGS IN ROOM,PM,"Animal, Insect"
176,OTHER PARTY INVADED OUR LANE RESULTING IN CONTACT,AD,Sideswipe or lane change
177,"SMALL PD. IT IS ALLEGED THAT THE OV DRIVER WAS DRIVING ON A       ROADWAY WHEN A WM TRASH CAN BOUNCED INTO THE STREET, STRUCK AND   DAMAGED THE P/S DOOR OF HER OV.",GL,Struck parked vehicle
178,OV WAS REAR ENDED BY OV,AU,Struck vehicle in rear
179,"THE IV REAR ENDED THE OV. THE OV HAS REAR END DAMAGE, D/S SIDE    WINDOW PANELING,AND D/S REAR WINDOW BUSTED. THERE WAS NO INJURY.",AD,Struck vehicle in rear
180,"ALLEGED: CUSTOMER FILED A COMPLAINT STATING THAT THE DRIVER WAS   MAKING A DELIVERY TO THEIR NEIGHBOR'S HOME AND HIT THE GAS LINE   AND GATE, CAUSING DAMAGE. NO INJURIES/POLICE/TOW.",AD,Struck animal or object
181,CLAIMANT DROVE OVER POTHOLE CAUSING DAMAGE TO VEHICLE,GD,Pothole
182,"SPOKE WITH CUSTOMER WHO STATED THEY WERE AT WORK WHEN THE ALLEGED INCIDENT HAPPENED THERE WAS A TIME BEFORE WHEN A FEDEX TRUCK RAN  OVER THEIR LAWN SO THEY PUT UP STAKES WHICH WERE RAN OVER IN THE  ALLEGED INCIDENT. THEIR FLOWER BED IS ALONG DRIVEWAY AND SIDEWALK CLOSER TO THE HOUSE, NOT IN THE YARD ANYWHERE SPOKE WITH BC DAN   AND THE ISP IS DENYING THE PROPERTY DAMAGE. THEY SHOWED",AD,Damage to landscaping
183,RANDY REPORTED TO THE CONCIERGE ON 3/1/23 THAT ON 2/28/23 AROUND 7 P.M. HE LOST HIS  WALLET AFTER HE PARKED HIS CAR IN HIS PARKING S,GD,Not Otherwise Classified
184,WALKING BEHIND REGISTER #2 SLIPPED ON DROPS OF WATER FELL SHIN    CONTUSION AND HEAD WAS HIT ON PACKING TABLE OF REGISTER,GB,Stationary object
185,"RO CK NO INJURIES OV WAS PASSING IV ON THE RIGHT SIDE MADE CONTACTWITH THE RIGHT MIRROR, HIT AND RUN",AP,Our vehicle struck by runaway vehicle
186,THE IV MADE A SHARP TURN IN A DRIVE WAY AND STRUCK A BOLLARD. THE BOLLARD WAS DAMAGED. NO INJURIES WERE REPORTED.,AD,Struck animal or object
187,WE GOT A GUEST CALL SAYING THAT FEW HOURS AGO HE HAD ORDER A      LOBSTER PASTA TOGO AND THAT HE FELT AN ALLERGIC REACTION MOMENTS  AFTER HE START EATING AND HE HAD TO CALL FOR THE AMBULANCE,PA,Allergic Reaction
188,"PLAINTIFF ALLEGES SHE TOOK HER 2013 CHEVROLET CRUZE VIN NUMBER:   1G1PC5SB9D7322577 IN FOR REPAIRS. SHE WAS CHARGED $100.00, IN     EXCESS OF THE TERMS OF THE INVOICE, AND SHE BELIEVES THIS IS A    PATTERN AND PRACTICE TO OVERCHARGE THE SHOP SUPPLIES CHARGE TO ITSCUSTOMERS.",GO,Alleged Negligent Act
189,CLAIMANT ALLEGES SHE FELL ONTO BOTH OF HER KNEES IN THE DINING    ROOM. THE CUSTOMER'S INJURIES ARE UNKNOWN.,GB,Alleged improper maintenance - other
190,STOCKED OUT SERVICES EMPLOYEE STATED HE FELL FROM SECOND FLOOR WHEN PREPPING FOR PAINTING AS THERE WAS AN ISSUE WITH THE LADDER. HE,GB,Ladder (portable)
191,CHUTE ON THE BACK OF MIXER HIT A CONTRACTORS PICKUP.,AD,Backed into vehicle or object
192,IV TURNING LEFT FROM LEFT LANE WHEN OV TURNED LEFT FROM RIGHT LANEAND STRUCK IV ON REAR DRIVER SIDE.,AP,Sideswipe or lane change
193,"GUEST WAS EATING CHICKEN AND THERE WAS A PIECE OF GLASS FROM A    DISH IN THE CHICKEN. WHEN SHE ATE THE CHICKEN, HER VANEER CRACKED AND THAT IS WHEN SHE NOTICED IT WAS GLASS. GUEST HAS PHOTOS.",PA,Food Product
194,CLAIMANT WAS DRIVING IN THE PARKING LOT NEAR THE NC LICENSE PLATE OFFICE. TENANTS CAR HIT POTHOLE THAT BLEW OUT TIRE AND POSSIBLY   DAMAGED THE WHEEL. CLAIMANT STATED THAT WATER WAS PUDDLED IN THE  POTHOLE AND IT WAS NOT EVIDENT THAT A POTHOLE WAS PRESENT. TENANT IS TAKING CAR IN FOR REPAIR AND WILL PROVIDE PHOTOS.,GD,Alleged Negligent Act
195,BROKEN PLUMBING,GD,Alleged Negligent Act
196,"TUFF SHED FORKLIFT DRIVER, ROBERTO BENITEZ WAS BACKING UP WHILE   LOADING A SEMI-TRUCK FOR THE CROSS-DOCK. WHILE BACKING UP, HE     BACKED INTO THE OPEN CARGO HATCH OF THE TRUCK. WHEN HE HIT THE    CARGO HATCH, IT PUSHED THE HATCH INTO THE CAB AND PUT A DENT IN   THE CAB.",AD,Backed into vehicle or object
197,IV WAS BACKING UP THEIR TANKER TRUCK WHILE TRYING TO MAKE ROOM FORA TURN AND HIT THE FRONT BUMPER OF CV,AD,Backed into vehicle or object
198,IV (DRIVER) STRUCK THE UTILITY BOX,AP,Struck animal or object
199,CLAIMANT SUFFERED BODILY INJURY DUE TO FELT ONTO STAIRS,GB,Not Otherwise Classified
200,"VENDOR, VALET LIVING TURNS / A RITE WAY WAS WORKING IN UNIT 10S 307 TO REPLACE A BATH TUB AND TILE. THE RESIDENT, STEPHANIE,  HAS A",GD,"Human Action, NOC"
201,CLAIMANT TRIPPED DUE TO RAISED PAVEMENT CAUSING BODILY INJURY,GB,DEFECTIVE PAVEMENT
202,CUSTOMER (MELANIE WELLER) GRABBED THE CART BY THE SIDE TO TURN IT AROUND. THE CART HAD A SMALL SHARP EDGE PROTRUDING FROM THE TOP OFIT. IN TURN IT LEFT A LACERATION ON HER RIGHT PALM AROUND 2-3     INCHES IN LENGTH. FIRST AID WAS ADMINISTERED.,GB,"Sharp objects (edges, splinters)"
203,INSURED VEHICLE HIT LOW ELECTRIC BOLLARD CAUSING DAMAGE TO BOLLARD,AD,Hit Post/Barrier/Gate/Pole
204,"ATTORNEY: CHRISTOPHER M BROWN, 954-764-6828, CLAIMANT: JAN & CINDYVELEN, IVY RECEIVED A LETTER OF INTENT REGARDING THE CLAIMANTS    SEWER DAMAGE AND BACKUP THAT OCCURRED 12/27/2021 WHICH ALSO WAS A SEDGWICK TENDER. THE CLAIMANT STATED THAT ON 12/27/2021, WHEN THEYRETURNED HOME FOUND WATER AND SEWAGE HAD OVERFLOWED ONTO THE      FLOORS FROM THE SHOWERS AND TOILETS IN BOTH BATHROOMS. THE DAMAGESARE TO THE SHOWER AND SHOWER DOOR, BUT, TILE, GROUT, FLOOR AND    BASEBOARDS. THEY STATE THEY",GB,Back up of sewer
205,"THE CLAIMANT WAS CROSSING THE STREET TO ENTER THE PARKING LOT,    WHEN HE WAS STRUCK BY A VEHICLE. THE CLAIMANT WAS TRANSPORTED TO  THE HOSPITAL VIA AMBULANCE.",GB,Vehicle - truck/snowplow
206,"GUEST WAS WALKING THROUGH THE PARKING LOT, FROM HER CAR TO THE    FRONT DOOR, TO DINE IN OUR RESTAURANT AND SHE FELL.  THE GUEST    FELL ON HER BOTTOM/BACK AND HIT THE BOTTOM OF HER HEAD ON THE     GROUND BUT NOT HARD ENOUGH TO CAUSE A CONCUSSION OR INJURY.       PARKING LOT WAS ICY AND SNOWPACKED AT THE TIME OF THE FALL",GB,"Ice, Snow, Sleet - Property"
207,"INSAT1001451: TSP VEHICLE STRUCK OCCUPIED CLAIMANT VEHICLE ON THE PASSENGER SIDE.  CLAIMANT DRIVER - CESAR ABREU-GOMEZ, CLAIMANT PASSENGER 1 - ARIEL TORRES, CLAIMANT PASSENGER 2 - INHIRA ROSANO.  BOTH CLAIMANT PASSENGERS COMPLAINING OF INJURIES.  UNKNOWN IF ANY VEHICLE TOWED, POLICE MV104 AND PHOTOS OF FEDEX UNIT PROVIDED BY INS AGENT.  TSP TRACTOR #162050",AB,Vehicle Accident
208,WATER DAMAGE,RB,Water
209,"THE IV1 REAR ENDED THE IV2. THE IV1 INCURRED FRONT BUMPER DAMAGE  WHILE THE IV2 HAD METAL STEP DENT, NO INJURIES WERE REPORTED.",AD,Our vehicle backed into
210,THE PROPERTY DAMAGED RESULTED FROM A WINDSTORM WITH TORNADIC ACTIVITY CONFIRMED IN SURROUNDING AREAS. DAMAGE TO TWO HVAC UNITS- DISP,RB,Tornado
211,BODILY INJURY CLAIM - RESET OF AN-02.,AB,Struck vehicle in rear
212,STATIONARY DRIVER WAITING TO TURN NORTH TO REYNOLD ROAD. OUR      DRIVER STRUCK OTHERS SIDE MIRROR WITH TRAILER,AD,Sideswipe or lane change
213,THE IV REAR ENDED THE OV THAT WAS STOPPED AT THE LIGHT. NO        INJURIES. THE OV INCURRED DAMAGE TO THE REAR BUMPER.,AD,Struck vehicle in rear
214,CLMT REPORT- LANE CHANGE LOSS,AD,Sideswipe or lane change
215,"MS SMITH REFUSED MEDICAL AID. MR BILL RUSSEL WAS NOTIFIED. FURTHER INVESTIGATION CONTINUING, PENDING A ROOM INSPECTION.  ON 12/18/22",GB,"Animal, Insect"
216,CUSTOMER STEPPED BACKWARDS AND TRIPPED OVER THE PLATFORM ON THE   STORE'S ORDER PICKER MACHINE. PREVIOUS INJURY DUE TO TORN ACL THATWAS AGGRAVATED BY TRIPPING OVER THE MACHINE. NO FIRST AID         REQUIRED.,GB,Object on floor
217,GATE CLOSED ON VEHICLE,GD,"Gate, fence"
218,VEHICLE BACKED INTO THE CLIENT'S BUILDING.,RB,Not Otherwise Classified
219,"DURING CUSTOMERS WASHER DRYER DELIVERY - B AND N DRIVER GUAGED THEBOTTOM OF HER FRONT DOOR - SEE PHOTOS OF DAMAGE.  THEY NOTICED    AFTER THEY ELFT, BUT DID NOT INFORM US UNTIL THIS MORNING. STILL  WITHIN THE 24 HOURS",GD,Alleged Negligent Act
220,MADELINE WAS TRAVELING WEST ON JEFFERSON ST AND ATTEMPTED TO TURN LEFT ON NORTH WINNEBAGO FROM THE MIDDLE LANE. SHE DID NOT SEE THE OTHER VEHICLE AND COLLIDED WITH THE OTHER VEHICLE,AD,Sideswipe or lane change
221,CUSTOMER WALKED INTO STORE AND CLAIMS FEET WENT OUT FROM UNDER HERDUE TO FLOOR BEING SLICK AND SHE FELL DOWN. SHOES WERE LOW HEELS.,GB,Water
222,ROLLING LARGE REELS OUT OF THE BACK OF THE TRAILER ONTO THE LULL  TO DELIVER PRO 184 1704815.  THE FORKLIFT TINE WAS WEDGED ON THE  BACK OF THE TRAILER. THE UNLOADING CUSTOMER MADE AN ADJUSTMENT ANDTHE TINE CAME FREE SPRUNG UP AND HIT THE INJURED EMPLOYEE ON THE  HEAD AND FACE.,GB,Forklift accessory
223,ELIZABETH PATEL AND MINOR CHILD PATEL MOTHER AND DAUGHTER WERE    CROSSING STREET AT A CROSSWALK WHEN A CAR FAILED TO STOP AT A     STOPSIGN AND STRUCK THEM. POLICE ON SCENE AND BOTH CLAIMANTS TAKENTO HOSPITAL. EXPECTED TO BE OK. FATHER CONTACTS FHGC AND REQUESTEDINSURANCE INFORMATION.,GB,Alleged Negligent Act
224,A FIRE OCCURRED ON THE BALCONY OF APARTMENT 402. DAMAGE WAS ISOLATED TO THE EXTERIOR OF THE APARTMENT WITH MINOR DAMAGE TO THE SECON,RB,Fire - Auto
225,"CLAIMANT ALLEGES AS HE HE SLIPPED ON THE WET FLOOR, DUE TO WATER  FROM THE DRINK STATION AND INJURED HIS LEFT KNEE.",GB,Alleged improper maintenance - other
226,THE IV WAS STOPPED AT A STOP LIGHT WHEN THE OV REAR ENDED THE IV. THE BACK BUMPER BROKE AND THE TRUNK IS SCRATCHED WITH A RED MARK. THE OV HOOD IS CRUSHED AND NOT ABLE TO DRIVE FORWARD. NO INJURIES REPORTED.,AP,Our vehicle struck in rear
227,"CUSTOMER STATES THAT SHE JUST FELL, DID NOT SLIP OR TRIP ON       ANYTHING ON GROUND",GB,"Human Action, NOC"
228,"CLAIMANT ALLEGES AS HE WAS DRINKING HIS COFFEE THE LID CAME OFF.  NO INJURIES ARE BEING REPORTED. CLAIMANT BELIEVES THERE WAS A     MALFUNCTION TO THE CUP, BECAUSE HE WAS NOT ABLE TO PUT THE LID    BACK ON.",PA,Not Otherwise Classified
229,ROCK FROM ROAD - NO ONE AT FAULT,AP,Windshield
